                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                1.80133,                1.69596,                1.03302,                0.25405,                 0.2316,                0.18849,                0.09565,                1.87397,                1.38494,                1.01483,                0.06704,                0.00033,                0.00033
                      2,                1.74034,                1.52143,                1.01726,                0.28206,                0.25093,                0.21312,                0.11187,                1.73985,                1.29615,                0.98441,                0.03404,                0.00067,                0.00067
                      3,                1.70616,                1.44824,                1.00839,                0.30232,                0.26079,                0.22975,                0.12369,                1.65932,                1.24221,                0.97022,                0.00104,                  0.001,                  0.001
                      4,                1.67465,                 1.3819,                1.00062,                0.31788,                0.27385,                 0.2441,                0.13362,                1.60503,                1.19934,                0.95965,                0.00099,                0.00099,                0.00099
                      5,                1.64488,                1.32009,                0.99328,                0.33495,                0.28666,                0.25948,                 0.1439,                1.55236,                1.16309,                0.94912,                0.00098,                0.00098,                0.00098
                      6,                1.61949,                1.27502,                0.98632,                 0.3507,                0.29374,                 0.2706,                0.15084,                1.53784,                 1.1306,                0.94287,                0.00098,                0.00098,                0.00098
                      7,                1.60195,                1.24075,                0.98119,                0.36106,                0.30349,                0.28061,                0.15676,                1.51506,                1.11734,                0.93927,                0.00097,                0.00097,                0.00097
                      8,                1.58394,                1.21911,                0.97697,                0.37761,                0.30961,                0.28942,                0.16278,                1.49861,                1.09185,                 0.9341,                0.00095,                0.00095,                0.00095
                      9,                1.57035,                1.19964,                0.97402,                0.38784,                0.31155,                0.29523,                0.16708,                1.46601,                1.07763,                0.92884,                0.00094,                0.00094,                0.00094
                     10,                1.55826,                1.18182,                0.97068,                0.39558,                0.31424,                0.29939,                0.17049,                1.46137,                1.06935,                0.92731,                0.00092,                0.00092,                0.00092
                     11,                1.54665,                1.16539,                0.96685,                0.40663,                0.31924,                0.30839,                0.17494,                1.45992,                1.05329,                0.92537,                0.00091,                0.00091,                0.00091
                     12,                1.53914,                1.15608,                 0.9649,                0.40714,                0.32115,                0.31064,                0.17729,                1.43813,                1.04339,                0.92196,                0.00089,                0.00089,                0.00089
                     13,                1.52893,                1.14339,                0.96208,                0.40978,                0.32778,                0.31609,                0.18028,                1.45147,                1.03959,                0.92391,                0.00087,                0.00087,                0.00087
                     14,                1.51785,                1.13128,                0.95958,                0.41962,                0.33309,                0.32406,                0.18513,                1.44156,                1.02624,                0.92146,                0.00084,                0.00084,                0.00084
                     15,                1.50976,                1.11853,                0.95825,                0.42077,                0.33716,                0.32719,                0.18684,                1.42726,                  1.015,                0.91879,                0.00082,                0.00082,                0.00082
                     16,                1.50087,                1.10674,                0.95595,                0.42468,                0.33996,                0.32996,                0.18858,                1.42749,                1.01115,                0.91766,                 0.0008,                 0.0008,                 0.0008
                     17,                1.49509,                1.09923,                0.95408,                0.43274,                0.34158,                 0.3344,                0.19178,                1.40846,                1.00022,                0.91473,                0.00077,                0.00077,                0.00077
                     18,                1.48525,                1.08664,                0.95179,                0.43195,                0.34528,                 0.3366,                0.19294,                1.41704,                0.99626,                0.91461,                0.00074,                0.00074,                0.00074
                     19,                1.47914,                1.08112,                0.95079,                0.43821,                 0.3467,                0.33947,                0.19473,                1.40846,                0.99454,                0.91442,                0.00072,                0.00072,                0.00072
                     20,                1.47136,                1.07117,                0.94856,                0.44562,                0.34625,                0.34313,                0.19803,                1.38776,                0.97932,                0.90986,                0.00069,                0.00069,                0.00069
                     21,                1.46636,                 1.0625,                0.94713,                0.44653,                0.34806,                  0.345,                0.19912,                 1.3837,                0.97996,                0.90959,                0.00066,                0.00066,                0.00066
                     22,                1.45873,                1.05383,                0.94549,                0.44229,                0.34791,                0.34435,                0.19922,                1.37742,                0.97753,                0.90861,                0.00063,                0.00063,                0.00063
                     23,                1.45419,                1.04557,                0.94338,                0.44843,                0.35308,                0.35051,                0.20297,                1.36762,                0.96565,                 0.9066,                 0.0006,                 0.0006,                 0.0006
                     24,                1.44432,                 1.0357,                0.94077,                0.45621,                0.35199,                0.35374,                0.20524,                1.36584,                0.96152,                0.90517,                0.00057,                0.00057,                0.00057
                     25,                1.43695,                1.02617,                0.93917,                 0.4578,                0.35772,                0.35691,                 0.2075,                1.36669,                 0.9571,                0.90614,                0.00054,                0.00054,                0.00054
                     26,                 1.4334,                1.02073,                0.93839,                0.46368,                0.35758,                0.35895,                0.20857,                1.36551,                0.95244,                0.90482,                0.00051,                0.00051,                0.00051
                     27,                1.42635,                1.01017,                0.93607,                0.46413,                0.35993,                0.36253,                0.21115,                1.35332,                0.94644,                0.90271,                0.00047,                0.00047,                0.00047
                     28,                1.42361,                1.00802,                0.93548,                0.46563,                0.36267,                0.36612,                0.21318,                1.35328,                0.94022,                0.90159,                0.00044,                0.00044,                0.00044
                     29,                1.41484,                 0.9983,                0.93419,                0.47066,                0.36086,                0.36707,                0.21482,                1.34501,                0.93587,                0.90085,                0.00041,                0.00041,                0.00041
                     30,                 1.4087,                0.99209,                0.93271,                0.47223,                0.36227,                0.36936,                0.21657,                 1.3383,                0.93054,                0.89986,                0.00038,                0.00038,                0.00038
                     31,                1.40461,                 0.9869,                0.93081,                0.47015,                0.36552,                0.37173,                0.21816,                1.33098,                0.92621,                0.89848,                0.00035,                0.00035,                0.00035
                     32,                1.39955,                0.98065,                0.92996,                0.47809,                0.36306,                0.37292,                0.21859,                1.33918,                0.92458,                0.89905,                0.00032,                0.00032,                0.00032
                     33,                1.39055,                0.97209,                0.92779,                0.47191,                0.36725,                0.37542,                0.22058,                 1.3285,                0.91969,                0.89778,                0.00029,                0.00029,                0.00029
                     34,                1.38764,                0.96828,                0.92632,                0.47398,                0.36844,                0.37641,                 0.2212,                1.32777,                0.91665,                0.89748,                0.00027,                0.00027,                0.00027
