                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                2.77702,                2.44803,                1.30127,                0.26541,                0.12595,                0.08601,                0.03554,                 2.6367,                2.04317,                1.24453,                0.06704,                0.00033,                0.00033
                      2,                2.60013,                2.28029,                1.24508,                0.26418,                0.13324,                0.09559,                0.04019,                2.51455,                1.93838,                1.19991,                0.03404,                0.00067,                0.00067
                      3,                  2.463,                2.14343,                1.20519,                0.26399,                0.14245,                0.10568,                0.04498,                2.44805,                1.87584,                1.17306,                0.00104,                  0.001,                  0.001
                      4,                2.32332,                 2.0012,                1.16428,                0.26644,                0.15446,                0.11976,                0.05163,                2.35681,                1.77765,                1.14504,                0.00099,                0.00099,                0.00099
                      5,                2.19945,                1.87335,                1.12865,                0.26825,                 0.1676,                0.13448,                0.05843,                2.28774,                1.67642,                1.12022,                0.00098,                0.00098,                0.00098
                      6,                2.09324,                1.76534,                1.09849,                  0.274,                0.18028,                0.14756,                0.06404,                2.26129,                 1.6064,                  1.105,                0.00098,                0.00098,                0.00098
                      7,                 2.0095,                 1.6767,                1.07485,                0.28143,                0.19273,                0.16091,                0.06975,                2.23403,                1.54482,                1.09342,                0.00097,                0.00097,                0.00097
                      8,                1.94727,                1.61046,                1.05842,                0.29007,                0.20378,                0.17239,                0.07495,                2.20962,                1.48845,                1.08498,                0.00095,                0.00095,                0.00095
                      9,                1.89961,                 1.5571,                1.04586,                0.30085,                0.21377,                0.18309,                 0.0795,                2.19861,                   1.45,                1.07825,                0.00094,                0.00094,                0.00094
                     10,                1.86263,                1.51446,                1.03611,                0.30882,                0.22291,                0.19353,                0.08447,                2.16845,                1.41627,                1.07011,                0.00092,                0.00092,                0.00092
                     11,                1.83088,                1.47867,                1.02787,                0.31947,                0.23097,                0.20238,                0.08842,                2.16337,                 1.3911,                1.06674,                0.00091,                0.00091,                0.00091
                     12,                1.80652,                 1.4501,                1.02154,                0.32641,                0.23845,                0.21137,                  0.093,                 2.1362,                1.36056,                1.05983,                0.00089,                0.00089,                0.00089
                     13,                1.78462,                1.42428,                1.01606,                0.33334,                0.24562,                0.21868,                0.09634,                2.14607,                1.34636,                  1.061,                0.00087,                0.00087,                0.00087
                     14,                1.76338,                1.40082,                 1.0109,                0.34035,                0.25209,                0.22583,                0.10056,                2.11522,                1.32139,                1.05304,                0.00084,                0.00084,                0.00084
                     15,                1.74518,                1.38009,                1.00667,                0.34702,                0.25849,                0.23295,                0.10476,                2.09275,                1.30254,                 1.0472,                0.00082,                0.00082,                0.00082
                     16,                1.72906,                1.36204,                1.00269,                0.35378,                0.26485,                0.24019,                 0.1093,                2.05439,                1.28165,                1.03655,                 0.0008,                 0.0008,                 0.0008
                     17,                1.71574,                1.34482,                0.99918,                 0.3598,                0.27059,                0.24597,                 0.1133,                2.03169,                1.26522,                1.03039,                0.00077,                0.00077,                0.00077
                     18,                1.70031,                1.32755,                0.99543,                0.36584,                0.27662,                0.25207,                0.11762,                1.99873,                1.24932,                1.02213,                0.00074,                0.00074,                0.00074
                     19,                1.68786,                1.31265,                0.99242,                0.37208,                0.28197,                0.25748,                0.12161,                 1.9652,                1.23287,                1.01347,                0.00072,                0.00072,                0.00072
                     20,                1.67464,                1.29787,                 0.9889,                0.37804,                0.28722,                0.26284,                0.12538,                1.95099,                1.22154,                1.00953,                0.00069,                0.00069,                0.00069
                     21,                 1.6644,                1.28484,                0.98619,                0.38309,                 0.2923,                0.26748,                0.12905,                1.92598,                1.21099,                 1.0033,                0.00066,                0.00066,                0.00066
                     22,                  1.653,                1.27205,                0.98324,                0.38786,                0.29707,                0.27175,                0.13334,                1.87854,                1.19465,                0.99354,                0.00063,                0.00063,                0.00063
                     23,                1.64338,                1.26002,                 0.9803,                0.39284,                0.30195,                0.27657,                0.13711,                1.86022,                1.18208,                 0.9904,                 0.0006,                 0.0006,                 0.0006
                     24,                1.63366,                 1.2486,                0.97763,                0.39774,                0.30654,                0.28096,                0.14073,                 1.8441,                1.17287,                0.98583,                0.00057,                0.00057,                0.00057
                     25,                1.62267,                 1.2363,                0.97484,                0.40239,                0.31099,                 0.2848,                0.14468,                1.80467,                1.15903,                0.97856,                0.00054,                0.00054,                0.00054
                     26,                1.61467,                 1.2262,                0.97279,                0.40726,                0.31552,                0.28924,                0.14828,                1.79089,                1.15066,                0.97476,                0.00051,                0.00051,                0.00051
                     27,                1.60482,                1.21518,                0.97007,                0.41176,                0.31975,                0.29322,                0.15191,                1.76378,                1.13882,                0.96918,                0.00047,                0.00047,                0.00047
                     28,                 1.5975,                1.20719,                0.96812,                0.41648,                0.32404,                0.29763,                 0.1561,                1.71671,                1.12221,                0.96104,                0.00044,                0.00044,                0.00044
                     29,                1.58764,                1.19705,                0.96594,                 0.4211,                0.32773,                0.30134,                0.15874,                1.71692,                1.11673,                0.96003,                0.00041,                0.00041,                0.00041
                     30,                1.57949,                1.18901,                0.96372,                0.42523,                0.33158,                 0.3055,                0.16265,                1.66773,                1.10298,                 0.9515,                0.00038,                0.00038,                0.00038
                     31,                1.57162,                1.18141,                0.96132,                0.42966,                0.33488,                0.30967,                0.16528,                 1.6574,                1.09644,                0.94923,                0.00035,                0.00035,                0.00035
                     32,                1.56302,                1.17337,                0.95933,                0.43194,                0.33672,                0.31264,                0.16714,                1.63792,                1.08867,                0.94544,                0.00032,                0.00032,                0.00032
                     33,                 1.5535,                1.16492,                0.95692,                0.43448,                0.33862,                0.31792,                0.16955,                1.61464,                1.07914,                0.94117,                0.00029,                0.00029,                0.00029
                     34,                1.54452,                1.15895,                0.95467,                0.43697,                0.34043,                0.32217,                0.17224,                1.59651,                1.07246,                0.93792,                0.00027,                0.00027,                0.00027
                     35,                1.53546,                1.15161,                0.95247,                0.43963,                0.34234,                0.32723,                 0.1753,                1.59305,                 1.0689,                0.93637,                0.00024,                0.00024,                0.00024
